
Tests

2015-03-17,10:28:50.204611,Computer,5,0.5,47
2015-03-17,10:29:35.538551,Computer,10,0.5,30
2015-03-17,10:30:21.117508,Computer,15,0.5,31
2015-03-17,10:31:06.431453,Computer,5,1.0,38
2015-03-17,10:31:51.809250,Computer,10,1.0,50
2015-03-17,10:32:35.556109,Computer,15,1.0,36
2015-03-17,10:33:06.387735,Computer,5,1.5,27
2015-03-17,10:33:36.988988,Computer,10,1.5,45
2015-03-17,10:34:07.677013,Computer,15,1.5,49

XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,RUN,1

2015-03-17,10:44:51.478404,Computer,2,0.2,28
2015-03-17,10:45:22.690608,Computer,5,0.2,26
2015-03-17,10:45:55.695699,Computer,8,0.2,23
2015-03-17,10:46:26.268572,Computer,11,0.2,22
2015-03-17,10:46:56.828898,Computer,14,0.2,22
2015-03-17,10:47:27.431105,Computer,17,0.2,22
2015-03-17,10:47:57.932556,Computer,20,0.2,19
2015-03-17,10:48:28.442483,Computer,23,0.2,22
2015-03-17,10:48:58.888640,Computer,2,0.5,33
2015-03-17,10:49:29.314537,Computer,5,0.5,47
2015-03-17,10:49:59.772576,Computer,8,0.5,33
2015-03-17,10:50:30.249294,Computer,11,0.5,33
2015-03-17,10:51:00.880366,Computer,14,0.5,27
2015-03-17,10:51:31.357530,Computer,17,0.5,27
2015-03-17,10:52:01.821947,Computer,20,0.5,28
2015-03-17,10:52:32.319184,Computer,23,0.5,25
2015-03-17,10:53:02.931403,Computer,2,0.8,21
2015-03-17,10:53:33.447034,Computer,5,0.8,42
2015-03-17,10:54:03.843841,Computer,8,0.8,49
2015-03-17,10:54:34.351226,Computer,11,0.8,41
2015-03-17,10:55:04.855773,Computer,14,0.8,37
2015-03-17,10:55:35.389529,Computer,17,0.8,34
2015-03-17,10:56:05.994268,Computer,20,0.8,34
2015-03-17,10:56:36.506335,Computer,23,0.8,28
2015-03-17,10:57:06.943028,Computer,2,1.1,15
2015-03-17,10:57:37.399834,Computer,5,1.1,33
2015-03-17,10:58:07.917953,Computer,8,1.1,45
2015-03-17,10:58:38.420698,Computer,11,1.1,48
2015-03-17,10:59:08.876473,Computer,14,1.1,41
2015-03-17,10:59:39.401952,Computer,17,1.1,39
2015-03-17,11:00:09.849641,Computer,20,1.1,31
2015-03-17,11:00:40.276380,Computer,23,1.1,32
2015-03-17,11:01:10.760570,Computer,2,1.4,13
2015-03-17,11:01:41.326889,Computer,5,1.4,26
2015-03-17,11:02:11.857927,Computer,8,1.4,36
2015-03-17,11:02:42.339838,Computer,11,1.4,44
2015-03-17,11:03:12.789622,Computer,14,1.4,45
2015-03-17,11:03:43.256734,Computer,17,1.4,48
2015-03-17,11:04:13.756527,Computer,20,1.4,38
2015-03-17,11:04:44.216035,Computer,23,1.4,36
2015-03-17,11:05:14.727784,Computer,2,1.7,10
2015-03-17,11:05:45.262741,Computer,5,1.7,25
2015-03-17,11:06:15.825398,Computer,8,1.7,35
2015-03-17,11:06:46.392331,Computer,11,1.7,40
2015-03-17,11:07:16.920252,Computer,14,1.7,48
2015-03-17,11:07:47.468053,Computer,17,1.7,50
2015-03-17,11:08:17.951214,Computer,20,1.7,44
2015-03-17,11:08:48.508022,Computer,23,1.7,43
2015-03-17,11:09:19.025012,Computer,2,2.0,9
2015-03-17,11:09:49.490485,Computer,5,2.0,21
2015-03-17,11:10:20.033043,Computer,8,2.0,30
2015-03-17,11:10:50.556308,Computer,11,2.0,38
2015-03-17,11:11:21.052483,Computer,14,2.0,47
2015-03-17,11:11:51.570873,Computer,17,2.0,48
2015-03-17,11:12:22.054826,Computer,20,2.0,49
2015-03-17,11:12:52.514464,Computer,23,2.0,45
2015-03-17,11:13:23.089886,Computer,2,2.3,8
2015-03-17,11:13:53.494002,Computer,5,2.3,19
2015-03-17,11:14:23.978691,Computer,8,2.3,29
2015-03-17,11:14:54.588484,Computer,11,2.3,34
2015-03-17,11:15:25.051865,Computer,14,2.3,42
2015-03-17,11:15:55.639068,Computer,17,2.3,45
