
2015-02-28 15:58:01.307942,Computer,8.75,0.875, 47
2015-02-28 15:59:00.544963,Computer,8.75,0.875, 46
2015-02-28 15:59:59.860677,Computer,8.75,0.875, 48
2015-02-28 16:00:58.325363,Computer,8.75,0.875, 46
2015-02-28 16:01:50.707200,Computer,8.75,0.875, 51
2015-02-28 16:03:57.228929,Computer,17.5,0.875, 33
2015-02-28 16:04:49.354526,Computer,17.5,0.875, 34
2015-02-28 16:05:47.852006,Computer,17.5,0.875, 33
2015-02-28 16:06:50.984986,Computer,17.5,0.875, 34
2015-02-28 16:07:52.371678,Computer,17.5,0.875, 34
2015-02-28 16:11:24.882250,Computer,8.75,0, 13
2015-02-28 16:12:29.962912,Computer,8.75,0, 14
2015-02-28 16:13:31.578514,Computer,8.75,0, 13
2015-02-28 16:14:29.886172,Computer,8.75,0, 14
2015-02-28 16:16:06.942183,Computer,8.75,0, 14
2015-02-28 16:20:00.296627,Computer,8.75,1.75, 36
2015-02-28 16:20:54.905442,Computer,8.75,1.75, 36
2015-02-28 16:21:49.432390,Computer,8.75,1.75, 35
2015-02-28 16:22:44.634083,Computer,8.75,1.75, 34
2015-02-28 16:23:42.459404,Computer,8.75,1.75, 36
2015-03-03 08:29:03.593812,Computer,8.75,1.75, 11
